from_station_id,to_station_id,weight
velodromo,ciudad_deportiva,2
ciudad_deportiva,velodromo,2
ciudad_deportiva,puebla,2
puebla,ciudad_deportiva,2
puebla,pantitlan,3
pantitlan,puebla,3
pantitlan,agricola_oriental,2
agricola_oriental,pantitlan,2
agricola_oriental,canal_de_san_juan,2
canal_de_san_juan,agricola_oriental,2
canal_de_san_juan,tepalcates,2
tepalcates,canal_de_san_juan,2
tepalcates,guelatao,2
guelatao,tepalcates,2
guelatao,penon_viejo,2
penon_viejo,guelatao,2
penon_viejo,acatitla,2
acatitla,penon_viejo,2
acatitla,santa_marta,2
santa_marta,acatitla,2
santa_marta,los_reyes,2
los_reyes,santa_marta,2
los_reyes,la_paz,3
la_paz,los_reyes,3
ciudad_azteca,plaza_aragon,2
plaza_aragon,ciudad_azteca,2
plaza_aragon,olimpica,2
olimpica,plaza_aragon,2
olimpica,ecatepec,2
ecatepec,olimpica,2
ecatepec,muzquiz,2
muzquiz,ecatepec,2
muzquiz,rio_de_los_remedios,2
rio_de_los_remedios,muzquiz,2
rio_de_los_remedios,impulsora,2
impulsora,rio_de_los_remedios,2
impulsora,nezahualcoyotl,2
nezahualcoyotl,impulsora,2
nezahualcoyotl,villa_de_aragon,2
villa_de_aragon,nezahualcoyotl,2
villa_de_aragon,bosque_de_aragon,2
bosque_de_aragon,villa_de_aragon,2
bosque_de_aragon,deportivo_oceania,2
deportivo_oceania,bosque_de_aragon,2
deportivo_oceania,oceania,2
oceania,deportivo_oceania,2
oceania,romero_rubio,2
romero_rubio,oceania,2
romero_rubio,ricardo_flores_magon,2
ricardo_flores_magon,romero_rubio,2
ricardo_flores_magon,san_lazaro,2
san_lazaro,ricardo_flores_magon,2
san_lazaro,morelos,2
morelos,san_lazaro,2
morelos,tepito,2
tepito,morelos,2
tepito,lagunilla,2
lagunilla,tepito,2
lagunilla,garibaldi/lagunilla,2
garibaldi/lagunilla,lagunilla,2
garibaldi/lagunilla,guerrero,2
guerrero,garibaldi/lagunilla,2
guerrero,buenavista,3
buenavista,guerrero,3
el_rosario,tezozomoc,2
tezozomoc,el_rosario,2
tezozomoc,uam-azcapotzalco,2
uam-azcapotzalco,tezozomoc,2
uam-azcapotzalco,ferreria/arena_ciudad_de_mexico,2
ferreria/arena_ciudad_de_mexico,uam-azcapotzalco,2
ferreria/arena_ciudad_de_mexico,norte_45,2
norte_45,ferreria/arena_ciudad_de_mexico,2
norte_45,vallejo,2
vallejo,norte_45,2
vallejo,instituto_del_petroleo,3
instituto_del_petroleo,vallejo,3
instituto_del_petroleo,lindavista,2
lindavista,instituto_del_petroleo,2
lindavista,deportivo_18_de_marzo,2
deportivo_18_de_marzo,lindavista,2
deportivo_18_de_marzo,la_villa-basilica,2
la_villa-basilica,deportivo_18_de_marzo,2
la_villa-basilica,martin_carrera,3
martin_carrera,la_villa-basilica,3
el_rosario,aquiles_serdan,3
aquiles_serdan,el_rosario,3
aquiles_serdan,camarones,2
camarones,aquiles_serdan,2
camarones,refineria,2
refineria,camarones,2
refineria,tacuba,2
tacuba,refineria,2
tacuba,san_joaquin,2
san_joaquin,tacuba,2
san_joaquin,polanco,2
polanco,san_joaquin,2
polanco,auditorio,2
auditorio,polanco,2
auditorio,constituyentes,2
constituyentes,auditorio,2
constituyentes,tacubaya,3
tacubaya,constituyentes,3
tacubaya,san_pedro_de_los_pinos,2
san_pedro_de_los_pinos,tacubaya,2
san_pedro_de_los_pinos,san_antonio,2
san_antonio,san_pedro_de_los_pinos,2
san_antonio,mixcoac,2
mixcoac,san_antonio,2
mixcoac,barranca_del_muerto,3
barranca_del_muerto,mixcoac,3
